model-name,phase,attempt,score_criteria1,score_criteria2,score_criteria3,score_criteria4,score_criteria5,score_criteria6,score_criteria7
llama3.2:3b,1,3,2,2,1,2,2,2,1
deepseek-v3.1:671b-cloud,1,3,5,5,4,5,4,5,3
llama3.3:70b,1,8,4,5,4,3,3,4,2
qwen3:14b,1,3,3,4,1,3,3,3,2
deepseek-r1:14b,1,1,3,3,3,3,3,3,2
llama3.2:3b,2,5,3,2,1,3,2,3,2
deepseek-v3.1:671b-cloud,2,6,5,5,4,5,4,5,4
llama3.3:70b,2,10,3,3,2,3,2,3,2
qwen3:14b,2,7,3,3,2,3,3,3,2
deepseek-r1:14b,2,1,3,3,2,2,3,3,3
llama3.2:3b,3,5,2,2,1,2,2,3,2
deepseek-v3.1:671b-cloud,3,7,4,5,3,3,3,4,2
llama3.3:70b,3,10,4,5,4,5,3,4,2
qwen3:14b,3,7,3,4,3,2,3,3,2
deepseek-r1:14b,3,1,3,3,1,2,2,2,2
qwen3:4b,1,3,1,1,1,1,1,1,1
qwen3:14b,1,9,3,3,2,3,3,3,2
qwen3:14b,1,5,3,4,2,3,3,4,2
smollm2:135m,1,9,1,1,1,1,1,1,1
llama3.2:1b,1,6,2,1,1,2,1,2,1
deepseek-v3.1:671b-cloud,2,3,4,4,3,5,3,4,4
mistral-small:22b,3,3,2,2,1,2,2,3,2
llama3.2:3b,3,1,3,2,1,2,1,2,1
smollm2:135m,3,7,1,1,1,1,1,1,1
deepseek-r1:32b,3,9,4,5,4,4,3,4,3
smollm2:135m,3,9,1,1,1,1,1,1,1
